网页地址,项目位置,面积(公顷),供地方式,行业分类,成交价格(万元),下限,上限,约定交地时间,经度,纬度
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d620dbe-218d-467f-9bd8-a2376a66a567,安宁区S583号规划路以南、刘家峡水电厂家属院以东、文化房地产用地以北,1.20232,挂牌出让,房地产业,7910,1,3.5,2015年12月4日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f67103b6-90b4-4f1f-b5eb-907c05b1dd47,安宁区T511号规划路以北、S573号规划路以南、T532号规划路以东、531号规划路以西,16.42656,挂牌出让,房地产业,77733,1,3,2016年2月14日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=749fb917-13e4-4bd4-a650-fdb5ee18e597,安宁区T517#规划路（北滨河西路）以北、515#规划路以南、T532#规划路以东、武警甘肃森林总队以西、大沙沟两侧,26.67851,挂牌出让,房地产业,83060,1,3.8,2014年7月30日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=049bee4e-b9da-47a9-9723-b0fddc815916,安宁区T517号规划路以北、515号规划路以南,4.68156,挂牌出让,房地产业,35210,1,3.8,2014年8月1日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b55dd206-f1d5-4603-8196-f4e76aa03994,安宁区T517号规划路以北、515号规划路以南,7.8533,挂牌出让,房地产业,44000,1,3.8,2013年7月22日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d8230198-648c-41d9-aff7-200dc3c702f7,安宁区T517号规划路以北、515号规划路以南,8.22641,挂牌出让,房地产业,46870,1,3.8,2014年2月6日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=21c68ce1-ffef-43d9-b2c6-de7d24c9969a,安宁区T532号规划路以东、515号规划路以北、T511号规划路以南、大沙沟以西,1.01985,挂牌出让,房地产业,2056.8845,1,3,2015年6月12日,103.693413,36.148807
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=076969d1-e18b-4944-b5fd-a7a4997aead8,安宁区T571#规划路以南，兰州矿场机械有限公司以北,0.069121,协议出让,其他服务业,428.8467,0,5.7,2017年5月23日,103.689454,36.120313
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1189828c-4cae-4a3a-a21e-2fd80ae00947,安宁区T571号规划路以北、S578-1号规划路以东、兰州市安宁廉租房用地以西,8.83853,挂牌出让,房地产业,33047,0,5.77,2017年2月13日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fe6d0fe0-2cb6-4dfd-ac0f-ed0bd8b45d22,安宁区T571号规划路以南、T532号规划路以东、大沙沟以西,19.25204,挂牌出让,房地产业,61764,1,1.75,2016年2月14日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5cc77d9a-674d-403a-b0d1-d29c796b19fc,安宁区T583号规划路以东，B593号规划路以南,1.37916,拍卖出让,房地产业,11600,1,3.5,2014年6月20日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a782d2eb-7b2e-486d-8ce1-f906edeb2903,安宁区安宁东路,0.91515,协议出让,装卸搬运和其他运输服务业,91.6572,,3.8,,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60ab3b17-e0d0-4e86-8bf4-40e63c828fb3,安宁区安宁东路818号,4.1998,协议出让,卫生,1498.2212,0,3.5,2018年3月27日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=adc3c2fb-3429-4254-bf29-c568690301bc,安宁区安宁东路T514―2号规划路以南、B596号规划路以西、内路以北,0.8341,挂牌出让,房地产业,7005,1,7.5,2016年10月17日,103.733872,36.101458
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dac16aeb-4bc5-4972-8c2d-144ecdd9a742,安宁区大沙沟以东、T571号规划路以南、S569号规划路以西,3.71728,挂牌出让,商务服务业,14613.2596,1,5,2015年3月6日,103.693413,36.148807
